District,Years_Available,Mean_Acreage,Std_Acreage,CV(%),Trend_Slope,Acreage_Stability_Class,R2,Predicted_2025_Acreage,Acreage_2024
Agar Malwa,5,1.595,0.158,9.92,-0.0113,Stable Acreage,-5.115565632,1.61240625,1.504
Ahamadnagar,4,1.51,0.178,11.77,0.0676,Moderately Variable,,1.35456625,1.506
Akola,5,2.212,0.058,2.64,0.0179,Stable Acreage,0.913684002,1.9460825,2.285
Alirajpur,5,0.33,0.017,5.08,-0.0003,Stable Acreage,0.90436382,0.36798375,0.308
Amaravati,5,2.341,0.096,4.11,-0.007,Stable Acreage,0.93922928,1.93837875,2.466
Anuppur,5,0.063,0.009,15.08,0.0058,Marginal Acreage (Statistically Unstable),-0.533654171,0.08423125,0.068
Ashoknagar,5,1.561,0.749,47.97,-0.4098,Highly Volatile / Crop Switching Likely,0.494567375,1.6295975,1.589
Aurangabad,5,0.292,0.027,9.37,-0.0048,Stable Acreage,0.436334572,0.230475,0.268
Banswara,5,0.664,0.022,3.33,-0.0021,Stable Acreage,-3.626514195,0.592485,0.663
Baran,5,2.193,0.119,5.45,-0.001,Stable Acreage,-0.286930197,2.20900625,2.225
Barwani,5,0.262,0.021,7.82,-0.0094,Stable Acreage,-8.953034701,0.227805,0.27
Betul,5,1.925,0.358,18.58,-0.1722,Moderately Variable,-2.280745455,2.1206775,2.107
Bhandara,5,0.007,0.004,63.59,0.0009,Marginal Acreage (Statistically Unstable),-10.43915469,0.006245,0.009
Bhilwara,5,0.078,0.011,13.67,-0.0013,Marginal Acreage (Statistically Unstable),0.629298229,0.09392625,0.078
Bhopal,5,1.055,0.114,10.81,-0.0074,Moderately Variable,0.100931238,1.0517775,1.016
Bhopal Division,5,10.716,0.926,8.64,0.474,Stable Acreage,-56.42387262,,11.123
Bid,5,3.055,0.334,10.93,0.1909,Moderately Variable,-0.59905535,3.24162375,3.211
Buldhana,5,3.81,0.358,9.4,0.2137,Stable Acreage,0.720692367,4.00099375,3.94
Bundi,5,0.511,0.108,21.23,-0.036,Moderately Variable,-0.035407592,0.60623125,0.54
Burhanpur,5,0.183,0.011,6.24,0.0056,Marginal Acreage (Statistically Unstable),-1.493835677,0.16901125,0.185
Chandrapur,5,0.626,0.101,16.16,-0.0448,Moderately Variable,-3.607393999,0.60522625,0.607
Chhatarpur,5,0.188,0.158,84.01,0.0733,Marginal Acreage (Statistically Unstable),0.568304883,0.16405,0.149
Chhindwara,4,0.292,0.174,59.51,-0.0932,Highly Volatile / Crop Switching Likely,,0.174785,0.173
Chittaurgarh,5,1.043,0.103,9.88,-0.0528,Stable Acreage,0.650397662,1.10029875,1.037
Damoh,5,0.6,0.251,41.79,-0.0311,Highly Volatile / Crop Switching Likely,0.681016614,0.48750125,0.432
Datia,4,0.004,0.005,104.06,0.0018,Marginal Acreage (Statistically Unstable),,0.010025,0.004
Dewas,5,3.414,0.306,8.98,-0.0562,Stable Acreage,-1.239047436,3.2730425,3.361
Dhar,5,2.616,0.313,11.98,0.1733,Moderately Variable,0.672417903,1.93353125,2.812
Dhule,5,0.199,0.056,27.94,-0.02,Marginal Acreage (Statistically Unstable),0.615594042,0.155685,0.165
Dindori,4,0.07,0.01,14.92,-0.0055,Marginal Acreage (Statistically Unstable),,0.08213875,0.068
Dungarpur,5,0.359,0.036,10.01,-0.0107,Moderately Variable,0.258475492,0.4163825,0.373
Gadchiroli,5,0.002,0.003,127.07,-0.0001,Marginal Acreage (Statistically Unstable),0.560027829,0.00425625,0.004
Guna,5,1.613,1.046,64.84,-0.6244,Highly Volatile / Crop Switching Likely,0.867977001,0.970295,0.945
Gwalior,5,0.188,0.4,212.92,0.1808,Marginal Acreage (Statistically Unstable),0.438571763,0.0084075,0.01
Gwalior Division,5,4.454,2.283,51.27,-1.3668,Highly Volatile / Crop Switching Likely,-0.174470717,,3.821
Harda,5,1.533,0.364,23.72,-0.1425,Moderately Variable,0.42519848,1.691635,1.778
Hingoli,5,2.293,0.169,7.37,0.0683,Stable Acreage,0.47601535,2.010345,2.194
Hoshangabad,5,0.508,0.181,35.65,-0.0943,Highly Volatile / Crop Switching Likely,0.864160599,0.3915075,0.379
Hoshangabad Division,5,3.966,0.796,20.06,-0.409,Moderately Variable,-4.808246878,,4.264
Indore,5,2.115,0.146,6.91,0.016,Stable Acreage,0.43396839,2.00015,2.179
Indore Division,5,8.756,0.638,7.28,0.2951,Stable Acreage,-38.06169701,,9.356
Jabalpur,4,0.001,0.002,151.44,0.0003,Marginal Acreage (Statistically Unstable),,0.01029875,0.004
